年度,リーグ,部門,順位,選手名,チーム名,数値,単位,選手ID
2023,単一リーグ,ポイント賞,1,黙示録@SMY会,さわやかMJ野郎の会,328.4,pt,P0316
2023,単一リーグ,ポイント賞,2,HAGI,TEAMS Rabbit_Yohan,228.4,pt,P0028
2023,単一リーグ,ポイント賞,3,アスラン,クレイジーダイヤモンド,226.7,pt,P0068
2023,単一リーグ,ラス回避率賞,1,HAGI,TEAMS Rabbit_Yohan,100,%,P0028
2023,単一リーグ,ラス回避率賞,2,海賊王,さわやかMJ野郎の会,100,%,P0238
2023,単一リーグ,ラス回避率賞,3,きさささ,たちこまーず,100,%,P0094
2023,単一リーグ,最多勝利賞,1,アスラン,クレイジーダイヤモンド,6,勝,P0068
2023,単一リーグ,最多勝利賞,2,黙示録@SMY会,さわやかMJ野郎の会,5,勝,P0316
2023,単一リーグ,最多勝利賞,3,全速ゆーへい,星の砂 Stardust Collectors,5,勝,P0291
2023,単一リーグ,最高得点賞,1,松崎真也＠協会,SILVER WOLVES,85100,点,P0276
2023,単一リーグ,最高得点賞,2,HAGI,TEAMS Rabbit_Yohan,69600,点,P0028
2023,単一リーグ,最高得点賞,3,アスラン,クレイジーダイヤモンド,69100,点,P0068
2023,単一リーグ,トップ率賞,1,黙示録@SMY会,さわやかMJ野郎の会,62.5,%,P0316
2023,単一リーグ,トップ率賞,2,全速ゆーへい,星の砂 Stardust Collectors,50,%,P0291
2023,単一リーグ,トップ率賞,3,マリア-style,レッドリボン軍,50,%,P0189
2024,単一リーグ,ポイント賞,1,クピドの悪戯,クレイジーダイヤモンド,374.8,pt,P0099
2024,単一リーグ,ポイント賞,2,溝渕智也,Team MJ lovers,329.5,pt,P0259
2024,単一リーグ,ポイント賞,3,K☆O☆U,星の砂_StardustCollectors,275.4,pt,P0035
2024,単一リーグ,ラス回避率賞,1,溝渕智也,Team MJ lovers,100,%,P0259
2024,単一リーグ,ラス回避率賞,2,K☆O☆U,星の砂_StardustCollectors,100,%,P0035
2024,単一リーグ,ラス回避率賞,3,ysk,Team MJ lovers,100,%,P0065
2024,単一リーグ,最多勝利賞,1,溝渕智也,Team MJ lovers,6,勝,P0259
2024,単一リーグ,最多勝利賞,2,クピドの悪戯,クレイジーダイヤモンド,6,勝,P0099
2024,単一リーグ,最多勝利賞,3,太郎,クレイジーダイヤモンド,6,勝,P0294
2024,単一リーグ,最高得点賞,1,強欲な壺,うるてぃまうぇぽん,97700,点,P0247
2024,単一リーグ,最高得点賞,2,クピドの悪戯,クレイジーダイヤモンド,79000,点,P0099
2024,単一リーグ,最高得点賞,3,太郎,クレイジーダイヤモンド,78500,点,P0294
2024,単一リーグ,トップ率賞,1,久田賢太,星の砂_StardustCollectors,62.5,%,P0243
2024,単一リーグ,トップ率賞,2,大明槓嶺上開花,クレイジーダイヤモンド,57.1,%,P0297
2024,単一リーグ,トップ率賞,3,溝渕智也,Team MJ lovers,50,%,P0259
