年度,リーグ,ステージ,試合No,日付,時間,チーム名,選手名,スコア,着順,試合,得点,選手ID
2026,Bリーグ,レギュラー, 1 ,2026/05/25,21:22:41,Vertice,みーやん19,64.6,1着,第一試合,44600,P0192
2026,Bリーグ,レギュラー, 1 ,2026/05/25,21:22:41,他力本願寺,たくおっち,15.2,2着,,35200,P0132
2026,Bリーグ,レギュラー, 1 ,2026/05/25,21:22:41,おたまーず,エイデン二号機,-23.4,3着,,16600,P0075
2026,Bリーグ,レギュラー, 1 ,2026/05/25,21:22:41,La vie en Rose,シェリさん,-56.4,4着,,3600,P0112
2026,Aリーグ,レギュラー, 2 ,2026/05/25,21:31:24,電光石火,EmperorTime,60.1,1着,第一試合,40100,P0024
2026,Aリーグ,レギュラー, 2 ,2026/05/25,21:31:24,たちこまーず,坊や哲,7.2,2着,,27200,P0310
2026,Aリーグ,レギュラー, 2 ,2026/05/25,21:31:24,レッドリボン軍,かじ,-23.2,3着,,16800,P0090
2026,Aリーグ,レギュラー, 2 ,2026/05/25,21:31:24,最強位ズ,リョータ,-44.1,4着,,15900,P0217
2026,Aリーグ,レギュラー, 3 ,2026/05/25,21:38:36,SSブルーバーズ,きめっち,62.7,1着,第一試合,42700,P0095
2026,Aリーグ,レギュラー, 3 ,2026/05/25,21:38:36,MJ東京,えんがわ,1.9,2着,,21900,P0078
2026,Aリーグ,レギュラー, 3 ,2026/05/25,21:38:36,MJAC愛好会,おかぴー,-19.1,3着,,20900,P0079
2026,Aリーグ,レギュラー, 3 ,2026/05/25,21:38:36,SILVER WOLVES,松崎真也,-45.5,4着,,14500,P0276
2026,Bリーグ,レギュラー, 4 ,2026/05/25,21:40:26,IRU,猪突猛進男,81.2,1着,第一試合,61200,P0299
2026,Bリーグ,レギュラー, 4 ,2026/05/25,21:40:26,楽しめばイイ雀,わたちゃん,2.7,2着,,22700,P0226
2026,Bリーグ,レギュラー, 4 ,2026/05/25,21:40:26,教室生☆KSC,Anmi,-22.0,3着,,18000,P0016
2026,Bリーグ,レギュラー, 4 ,2026/05/25,21:40:26,Brave Revengers,りきまーる,-61.9,4着,,-1900,P0214
2026,Aリーグ,レギュラー, 5 ,2026/05/25,21:46:47,ＺＯＯ,戯言遣い,105.0,1着,第一試合,85000,P0242
2026,Aリーグ,レギュラー, 5 ,2026/05/25,21:46:47,enjoyすればイイ雀！,じゅねこ,-4.7,2着,,15300,P0116
2026,Aリーグ,レギュラー, 5 ,2026/05/25,21:46:47,武装,ツナマヨ,-40.0,3着,,0,P0138
2026,Aリーグ,レギュラー, 5 ,2026/05/25,21:46:47,HIVE,ぼうや@HIVE,-60.3,4着,,-300,P0177
2026,Bリーグ,レギュラー, 6 ,2026/05/25,21:51:09,Team MJ lovers,小林宏康,48.1,1着,第一試合,28100,P0275
2026,Bリーグ,レギュラー, 6 ,2026/05/25,21:51:09,TEAM AJITO,神田大行,6.8,2着,,26800,P0282
2026,Bリーグ,レギュラー, 6 ,2026/05/25,21:51:09,さわやかMJ野郎の会,パイ乙戦士全ツ,-17.0,3着,,23000,P0156
