年度,リーグ,ステージ,順位,選手名,チーム名,試合数,ポイント,平均スコア,平均順位,最高得点,最高得点順位,最低得点,トップ数,2着数,3着数,4着数,トップ率,トップ率順位,ラス回避率,ラス回避率順位,最多勝利順位,ポイント賞順位,ラス回避率賞順位,最多勝利賞順位,最高得点賞順位,トップ率賞順位,選手ID
2026,Aリーグ,セミファイナル,1,Hiromu,最強位ズ,2,132,66,1.00,"60,300点",3,"31,700点",2,0,0,0,100.0%,1,100.0%,2,1,,,,,,P0030
2026,Aリーグ,セミファイナル,2,k-k,電光石火,2,116.2,58.1,1.00,"43,400点",8,"32,800点",2,0,0,0,100.0%,2,100.0%,3,2,,,,,,P0034
2026,Aリーグ,セミファイナル,3,まびたん,最強位ズ,1,80.2,80.2,1.00,"60,200点",4,"60,200点",1,0,0,0,100.0%,3,100.0%,9,3,,,,,,P0187
2026,Aリーグ,セミファイナル,4,ご飯にバター,ＺＯＯ,2,74.4,37.2,1.50,"47,200点",7,"27,200点",1,1,0,0,50.0%,7,100.0%,4,7,,,,,,P0106
2026,Aリーグ,セミファイナル,5,阿賀寿直,SILVER WOLVES,1,67.3,67.3,1.00,"47,300点",6,"47,300点",1,0,0,0,100.0%,4,100.0%,10,4,,,,,,P0228
2026,Aリーグ,セミファイナル,6,リョータ,最強位ズ,2,64.8,32.4,1.50,"38,700点",12,"26,100点",1,1,0,0,50.0%,8,100.0%,5,8,,,,,,P0217
2026,Aリーグ,セミファイナル,7,ミッキー柳井,電光石火,1,58.1,58.1,1.00,"38,100点",14,"38,100点",1,0,0,0,100.0%,5,100.0%,11,5,,,,,,P0194
2026,Aリーグ,セミファイナル,8,J,MJ東京,3,57.1,19,2.00,"54,000点",5,"20,800点",1,1,1,0,33.3%,13,100.0%,1,13,,,,,,P0032
2026,Aリーグ,セミファイナル,9,とむとむ,武装,1,52.5,52.5,1.00,"32,500点",21,"32,500点",1,0,0,0,100.0%,6,100.0%,12,6,,,,,,P0146
2026,Aリーグ,セミファイナル,10,サンタマルコ,ＺＯＯ,2,43.5,21.8,2.50,"67,800点",1,"15,700点",1,0,0,1,50.0%,9,50.0%,28,9,,,,,,P0110
