年度,リーグ,ステージ,順位,選手名,チーム名,試合数,ポイント,平均スコア,平均順位,最高得点,最高得点順位,最低得点,トップ数,2着数,3着数,4着数,トップ率,トップ率順位,ラス回避率,ラス回避率順位,最多勝利順位,ポイント賞順位,ラス回避率賞順位,最多勝利賞順位,最高得点賞順位,トップ率賞順位,選手ID
2023,単一リーグ,セミファイナル,1,鞘,星の砂 Stardust Collectors,3,148.7,49.6,1.33,"48,900点",8,"35,000点",2,1,0,0,66.7%,4,100.0%,2,2,,,,,,P0278
2023,単一リーグ,セミファイナル,2,桃瀬古都,SSブルーバーズ,2,141.3,70.7,1.00,"60,400点",3,"40,900点",2,0,0,0,100.0%,1,100.0%,5,1,,,,,,P0305
2023,単一リーグ,セミファイナル,3,かうzじゅき,関西麻雀保安協会,3,115.4,38.5,1.67,"52,800点",5,"30,500点",1,2,0,0,33.3%,14,100.0%,3,14,,,,,,P0088
2023,単一リーグ,セミファイナル,4,黙示録@SMY会,さわやかMJ野郎の会,2,102.6,51.3,1.50,"68,700点",2,"33,900点",1,1,0,0,50.0%,6,100.0%,6,6,,,,,,P0316
2023,単一リーグ,セミファイナル,5,太郎,クレイジーダイヤモンド,4,100.9,25.2,2.00,"74,900点",1,"15,200点",2,0,2,0,50.0%,5,100.0%,1,3,,,,,,P0294
2023,単一リーグ,セミファイナル,6,ハナノア,SSブルーバーズ,2,80.7,40.4,1.50,"42,000点",12,"38,700点",1,1,0,0,50.0%,7,100.0%,7,7,,,,,,P0158
2023,単一リーグ,セミファイナル,7,全速ゆーへい,星の砂 Stardust Collectors,1,64.9,64.9,1.00,"44,900点",9,"44,900点",1,0,0,0,100.0%,2,100.0%,15,4,,,,,,P0291
2023,単一リーグ,セミファイナル,8,PPPするぞ★,星の砂 Stardust Collectors,2,61.6,30.8,1.50,"37,800点",15,"23,800点",1,1,0,0,50.0%,8,100.0%,8,8,,,,,,P0050
2023,単一リーグ,セミファイナル,9,つよ@SMY会,さわやかMJ野郎の会,1,60.3,60.3,1.00,"40,300点",13,"40,300点",1,0,0,0,100.0%,3,100.0%,16,5,,,,,,P0139
2023,単一リーグ,セミファイナル,10,玉緒,関西麻雀保安協会,2,59.1,29.6,2.00,"54,400点",4,"24,700点",1,0,1,0,50.0%,9,100.0%,9,9,,,,,,P0251
2023,単一リーグ,セミファイナル,11,店長倍損の上司,星の砂 Stardust Collectors,2,54.2,27.1,1.50,"30,100点",21,"24,100点",1,1,0,0,50.0%,10,100.0%,10,10,,,,,,P0302
2023,単一リーグ,セミファイナル,12,大明槓嶺上開花,クレイジーダイヤモンド,2,16.1,8.1,2.00,"29,400点",22,"26,700点",0,2,0,0,0.0%,22,100.0%,11,23,,,,,,P0297
2023,単一リーグ,セミファイナル,13,クピドの悪戯,クレイジーダイヤモンド,4,14.7,3.7,2.50,"42,500点",11,"19,000点",1,1,1,1,25.0%,15,75.0%,19,15,,,,,,P0099
2023,単一リーグ,セミファイナル,14,☆けーすけ☆,星の砂 Stardust Collectors,2,9.8,4.9,2.50,"34,500点",17,"15,300点",1,0,0,1,50.0%,11,50.0%,25,11,,,,,,P0008
2023,単一リーグ,セミファイナル,15,おじょう,関西麻雀保安協会,1,6.4,6.4,2.00,"26,400点",27,"26,400点",0,1,0,0,0.0%,32,100.0%,17,18,,,,,,P0083
2023,単一リーグ,セミファイナル,16,はなびん,さわやかMJ野郎の会,1,6,6,2.00,"26,000点",29,"26,000点",0,1,0,0,0.0%,33,100.0%,18,19,,,,,,P0159
2023,単一リーグ,セミファイナル,17,5296,SSブルーバーズ,2,-1.7,-0.9,2.50,"50,700点",6,"-12,400点",1,0,0,1,50.0%,12,50.0%,26,12,,,,,,P0014
2023,単一リーグ,セミファイナル,18,久田賢太（最）,星の砂 Stardust Collectors,2,-8.2,-4.1,2.50,"32,700点",18,"19,100点",0,1,1,0,0.0%,23,100.0%,12,24,,,,,,P0243
2023,単一リーグ,セミファイナル,19,黒太郎@SMY会,さわやかMJ野郎の会,2,-13,-6.5,2.50,"35,500点",16,"-8,500点",1,0,0,1,50.0%,13,50.0%,27,13,,,,,,P0260
2023,単一リーグ,セミファイナル,20,エデン,SSブルーバーズ,2,-20.9,-10.5,2.50,"28,500点",24,"10,600点",0,1,1,0,0.0%,24,100.0%,13,25,,,,,,P0076
2023,単一リーグ,セミファイナル,21,海賊王,さわやかMJ野郎の会,4,-30.8,-7.7,2.75,"50,200点",7,"3,200点",1,1,0,2,25.0%,16,50.0%,23,16,,,,,,P0238
2023,単一リーグ,セミファイナル,22,アスラン,クレイジーダイヤモンド,2,-35.3,-17.7,3.00,"23,500点",30,"21,200点",0,0,2,0,0.0%,25,100.0%,14,26,,,,,,P0068
2023,単一リーグ,セミファイナル,23,Hara,SSブルーバーズ,3,-40.2,-13.4,2.67,"29,200点",23,"10,300点",0,1,2,0,0.0%,19,100.0%,4,33,,,,,,P0029
2023,単一リーグ,セミファイナル,24,小麦さん,さわやかMJ野郎の会,2,-49.1,-24.6,3.00,"32,000点",19,"-1,100点",0,1,0,1,0.0%,26,50.0%,28,27,,,,,,P0274
2023,単一リーグ,セミファイナル,25,こーきゅんっ,星の砂 Stardust Collectors,3,-49.6,-16.5,2.67,"28,000点",25,-500点,0,2,0,1,0.0%,20,66.7%,21,34,,,,,,P0103
2023,単一リーグ,セミファイナル,26,ボスゆっくん,星の砂 Stardust Collectors,1,-51.4,-51.4,4.00,"8,600点",34,"8,600点",0,0,0,1,0.0%,34,0.0%,34,20,,,,,,P0180
2023,単一リーグ,セミファイナル,27,サヴェ,SSブルーバーズ,1,-51.7,-51.7,4.00,"8,300点",35,"8,300点",0,0,0,1,0.0%,35,0.0%,35,21,,,,,,P0107
2023,単一リーグ,セミファイナル,28,えりんぼパパ,関西麻雀保安協会,1,-52,-52,4.00,"8,000点",36,"8,000点",0,0,0,1,0.0%,36,0.0%,36,22,,,,,,P0077
2023,単一リーグ,セミファイナル,29,富士山,関西麻雀保安協会,2,-54.4,-27.2,3.50,"26,100点",28,"19,500点",0,0,1,1,0.0%,27,50.0%,29,28,,,,,,P0309
2023,単一リーグ,セミファイナル,30,石川安牌,関西麻雀保安協会,4,-58.1,-14.5,3.00,"44,200点",10,"-4,200点",1,0,1,2,25.0%,17,50.0%,24,17,,,,,,P0284
