選手ID,選手名,対局数,半荘数,総局数,総合ポイント,平均順位,1着数,2着数,3着数,4着数,トップ率,連対率,ラス回避率,平均得点,最高得点,平均ポイント,和了数,和了率,ツモ和了数,ロン和了数,ツモ和了率,平均和了点,最高和了点,平均翻,平均符,放銃数,放銃率,平均放銃点,副露局数,副露率,平均副露回数,立直局数,立直率,立直和了数,立直和了率,ダマ和了数,流局数,流局率,親局数,親番和了数,親番和了率,役満数,平均ドラ数,平均赤ドラ数,平均裏ドラ数,総局収支,平均局収支,最大局収支,最小局収支,解析済局数,判定保留局数,解析完了率,集計区分,年度,シーズン,最低得点,2着率,3着率,4着率,最大放銃点,放銃回避率,ダマ和了率,副露和了数,副露和了率,門前和了数,門前和了率,親番放銃数,親番放銃率,親平均収支,子平均収支
P0010,☆魔雀T塾生☆,2,2,23,22.9,2,1,0,1,0,50.0%,50.0%,100.0%,36450,52500,11.45,5,21.7%,4,1,80.0%,7720,16000,4.6,26,1,4.3%,2000,5,21.7%,2.6,6,26.1%,4,66.7%,1,1,4.3%,4,0,0.0%,0,0.4,0.8,1,22900,995.6521739,16000,-4000,19,4,82.6%,全期間,,,20400,0.0%,50.0%,0.0%,2000,95.7%,20.0%,1,20.0%,4,22.2%,0,0.0%,-1250,1468.421053
P0010,☆魔雀T塾生☆,2,2,23,22.9,2,1,0,1,0,50.0%,50.0%,100.0%,36450,52500,11.45,5,21.7%,4,1,80.0%,7720,16000,4.6,26,1,4.3%,2000,5,21.7%,2.6,6,26.1%,4,66.7%,1,1,4.3%,4,0,0.0%,0,0.4,0.8,1,22900,995.6521739,16000,-4000,19,4,82.6%,年度,2026,,20400,0.0%,50.0%,0.0%,2000,95.7%,20.0%,1,20.0%,4,22.2%,0,0.0%,-1250,1468.421053
P0010,☆魔雀T塾生☆,2,2,23,22.9,2,1,0,1,0,50.0%,50.0%,100.0%,36450,52500,11.45,5,21.7%,4,1,80.0%,7720,16000,4.6,26,1,4.3%,2000,5,21.7%,2.6,6,26.1%,4,66.7%,1,1,4.3%,4,0,0.0%,0,0.4,0.8,1,22900,995.6521739,16000,-4000,19,4,82.6%,シーズン,2026,セミファイナル,20400,0.0%,50.0%,0.0%,2000,95.7%,20.0%,1,20.0%,4,22.2%,0,0.0%,-1250,1468.421053
P0011,014のりたま,1,1,9,2.8,2,0,1,0,0,0.0%,100.0%,100.0%,27800,27800,2.8,3,33.3%,0,3,0.0%,4833.333333,8000,3,33.33333333,1,11.1%,5200,2,22.2%,2,1,11.1%,0,0.0%,3,1,11.1%,2,0,0.0%,0,0.6666666667,1,0,2800,311.1111111,8000,-5500,9,0,100.0%,全期間,,,27800,100.0%,0.0%,0.0%,5200,88.9%,100.0%,1,50.0%,2,28.6%,0,0.0%,-4500,1685.714286
P0011,014のりたま,1,1,9,2.8,2,0,1,0,0,0.0%,100.0%,100.0%,27800,27800,2.8,3,33.3%,0,3,0.0%,4833.333333,8000,3,33.33333333,1,11.1%,5200,2,22.2%,2,1,11.1%,0,0.0%,3,1,11.1%,2,0,0.0%,0,0.6666666667,1,0,2800,311.1111111,8000,-5500,9,0,100.0%,年度,2026,,27800,100.0%,0.0%,0.0%,5200,88.9%,100.0%,1,50.0%,2,28.6%,0,0.0%,-4500,1685.714286
P0011,014のりたま,1,1,9,2.8,2,0,1,0,0,0.0%,100.0%,100.0%,27800,27800,2.8,3,33.3%,0,3,0.0%,4833.333333,8000,3,33.33333333,1,11.1%,5200,2,22.2%,2,1,11.1%,0,0.0%,3,1,11.1%,2,0,0.0%,0,0.6666666667,1,0,2800,311.1111111,8000,-5500,9,0,100.0%,シーズン,2026,セミファイナル,27800,100.0%,0.0%,0.0%,5200,88.9%,100.0%,1,50.0%,2,28.6%,0,0.0%,-4500,1685.714286
P0018,Blue-K18,1,1,14,-10.6,3,0,0,1,0,0.0%,0.0%,100.0%,14400,14400,-10.6,2,14.3%,1,1,50.0%,6550,9100,3,25,2,14.3%,2750,3,21.4%,2,2,14.3%,1,50.0%,1,0,0.0%,4,1,25.0%,0,0,0,0.5,-10600,-757.1428571,9100,-6200,10,4,71.4%,全期間,,,14400,0.0%,100.0%,0.0%,3200,85.7%,50.0%,1,33.3%,1,9.1%,0,0.0%,975,-1450
P0018,Blue-K18,1,1,14,-10.6,3,0,0,1,0,0.0%,0.0%,100.0%,14400,14400,-10.6,2,14.3%,1,1,50.0%,6550,9100,3,25,2,14.3%,2750,3,21.4%,2,2,14.3%,1,50.0%,1,0,0.0%,4,1,25.0%,0,0,0,0.5,-10600,-757.1428571,9100,-6200,10,4,71.4%,年度,2026,,14400,0.0%,100.0%,0.0%,3200,85.7%,50.0%,1,33.3%,1,9.1%,0,0.0%,975,-1450
P0018,Blue-K18,1,1,14,-10.6,3,0,0,1,0,0.0%,0.0%,100.0%,14400,14400,-10.6,2,14.3%,1,1,50.0%,6550,9100,3,25,2,14.3%,2750,3,21.4%,2,2,14.3%,1,50.0%,1,0,0.0%,4,1,25.0%,0,0,0,0.5,-10600,-757.1428571,9100,-6200,10,4,71.4%,シーズン,2026,セミファイナル,14400,0.0%,100.0%,0.0%,3200,85.7%,50.0%,1,33.3%,1,9.1%,0,0.0%,975,-1450
P0024,EmperorTime,1,1,12,13.9,3,0,0,1,0,0.0%,0.0%,100.0%,38900,38900,13.9,3,25.0%,1,2,33.3%,5333.333333,12000,3.333333333,33.33333333,1,8.3%,1000,5,41.7%,2.6,0,0.0%,0,,3,1,8.3%,2,0,0.0%,0,1,0.5,0,13900,1158.333333,12600,-2100,12,0,100.0%,全期間,,,38900,0.0%,100.0%,0.0%,1000,91.7%,100.0%,2,40.0%,1,14.3%,0,0.0%,0,1390
P0024,EmperorTime,1,1,12,13.9,3,0,0,1,0,0.0%,0.0%,100.0%,38900,38900,13.9,3,25.0%,1,2,33.3%,5333.333333,12000,3.333333333,33.33333333,1,8.3%,1000,5,41.7%,2.6,0,0.0%,0,,3,1,8.3%,2,0,0.0%,0,1,0.5,0,13900,1158.333333,12600,-2100,12,0,100.0%,年度,2026,,38900,0.0%,100.0%,0.0%,1000,91.7%,100.0%,2,40.0%,1,14.3%,0,0.0%,0,1390
P0024,EmperorTime,1,1,12,13.9,3,0,0,1,0,0.0%,0.0%,100.0%,38900,38900,13.9,3,25.0%,1,2,33.3%,5333.333333,12000,3.333333333,33.33333333,1,8.3%,1000,5,41.7%,2.6,0,0.0%,0,,3,1,8.3%,2,0,0.0%,0,1,0.5,0,13900,1158.333333,12600,-2100,12,0,100.0%,シーズン,2026,セミファイナル,38900,0.0%,100.0%,0.0%,1000,91.7%,100.0%,2,40.0%,1,14.3%,0,0.0%,0,1390
P0030,Hiromu,2,2,28,28.8,1,2,0,0,0,100.0%,100.0%,100.0%,39400,47100,14.4,6,21.4%,3,3,50.0%,7433.333333,18000,3.666666667,29.16666667,2,7.1%,1250,6,21.4%,2.666666667,4,14.3%,3,75.0%,3,2,7.1%,8,3,37.5%,0,0.8333333333,0.5,0,28800,1028.571429,18000,-3000,28,0,100.0%,全期間,,,31700,0.0%,0.0%,0.0%,1500,92.9%,50.0%,1,16.7%,5,22.7%,1,12.5%,4225,-250
P0030,Hiromu,2,2,28,28.8,1,2,0,0,0,100.0%,100.0%,100.0%,39400,47100,14.4,6,21.4%,3,3,50.0%,7433.333333,18000,3.666666667,29.16666667,2,7.1%,1250,6,21.4%,2.666666667,4,14.3%,3,75.0%,3,2,7.1%,8,3,37.5%,0,0.8333333333,0.5,0,28800,1028.571429,18000,-3000,28,0,100.0%,年度,2026,,31700,0.0%,0.0%,0.0%,1500,92.9%,50.0%,1,16.7%,5,22.7%,1,12.5%,4225,-250
P0030,Hiromu,2,2,28,28.8,1,2,0,0,0,100.0%,100.0%,100.0%,39400,47100,14.4,6,21.4%,3,3,50.0%,7433.333333,18000,3.666666667,29.16666667,2,7.1%,1250,6,21.4%,2.666666667,4,14.3%,3,75.0%,3,2,7.1%,8,3,37.5%,0,0.8333333333,0.5,0,28800,1028.571429,18000,-3000,28,0,100.0%,シーズン,2026,セミファイナル,31700,0.0%,0.0%,0.0%,1500,92.9%,50.0%,1,16.7%,5,22.7%,1,12.5%,4225,-250
