選手ID,選手名,集計区分,年度,シーズン,役名,出現回数,和了時出現率,和了時平均翻,和了時平均点
P0018,Blue-K18,全期間,,,南,1,50.0%,2.00,"4,000"
P0018,Blue-K18,全期間,,,平和,1,50.0%,4.00,"9,100"
P0018,Blue-K18,全期間,,,立直,1,50.0%,4.00,"9,100"
P0018,Blue-K18,全期間,,,西,1,50.0%,2.00,"4,000"
P0018,Blue-K18,全期間,,,門前清摸和,1,50.0%,4.00,"9,100"
P0010,☆魔雀T塾生☆,全期間,,,一盃口,1,25.0%,9.00,"16,000"
P0010,☆魔雀T塾生☆,全期間,,,平和,2,50.0%,8.00,"14,300"
P0010,☆魔雀T塾生☆,全期間,,,發,1,25.0%,1.00,"1,100"
P0010,☆魔雀T塾生☆,全期間,,,立直,3,75.0%,6.33,"11,200"
P0010,☆魔雀T塾生☆,全期間,,,門前清摸和,3,75.0%,6.33,"11,200"
P0215,りゅー,全期間,,,一気通貫,1,50.0%,2.00,"2,300"
P0215,りゅー,全期間,,,立直,1,50.0%,1.00,"3,300"
P0298,中出雄介,全期間,,,一盃口,1,50.0%,4.00,"8,000"
P0298,中出雄介,全期間,,,白,1,50.0%,1.00,"3,200"
P0298,中出雄介,全期間,,,門前清摸和,1,50.0%,4.00,"8,000"
P0018,Blue-K18,年度,2026,,南,1,50.0%,2.00,"4,000"
P0018,Blue-K18,年度,2026,,平和,1,50.0%,4.00,"9,100"
P0018,Blue-K18,年度,2026,,立直,1,50.0%,4.00,"9,100"
P0018,Blue-K18,年度,2026,,西,1,50.0%,2.00,"4,000"
P0018,Blue-K18,年度,2026,,門前清摸和,1,50.0%,4.00,"9,100"
P0010,☆魔雀T塾生☆,年度,2026,,一盃口,1,25.0%,9.00,"16,000"
P0010,☆魔雀T塾生☆,年度,2026,,平和,2,50.0%,8.00,"14,300"
P0010,☆魔雀T塾生☆,年度,2026,,發,1,25.0%,1.00,"1,100"
P0010,☆魔雀T塾生☆,年度,2026,,立直,3,75.0%,6.33,"11,200"
P0010,☆魔雀T塾生☆,年度,2026,,門前清摸和,3,75.0%,6.33,"11,200"
P0215,りゅー,年度,2026,,一気通貫,1,50.0%,2.00,"2,300"
P0215,りゅー,年度,2026,,立直,1,50.0%,1.00,"3,300"
P0298,中出雄介,年度,2026,,一盃口,1,50.0%,4.00,"8,000"
P0298,中出雄介,年度,2026,,白,1,50.0%,1.00,"3,200"
P0298,中出雄介,年度,2026,,門前清摸和,1,50.0%,4.00,"8,000"
P0018,Blue-K18,シーズン,2026,セミファイナル,南,1,50.0%,2.00,"4,000"
P0018,Blue-K18,シーズン,2026,セミファイナル,平和,1,50.0%,4.00,"9,100"
P0018,Blue-K18,シーズン,2026,セミファイナル,立直,1,50.0%,4.00,"9,100"
P0018,Blue-K18,シーズン,2026,セミファイナル,西,1,50.0%,2.00,"4,000"
P0018,Blue-K18,シーズン,2026,セミファイナル,門前清摸和,1,50.0%,4.00,"9,100"
P0010,☆魔雀T塾生☆,シーズン,2026,セミファイナル,一盃口,1,25.0%,9.00,"16,000"
P0010,☆魔雀T塾生☆,シーズン,2026,セミファイナル,平和,2,50.0%,8.00,"14,300"
P0010,☆魔雀T塾生☆,シーズン,2026,セミファイナル,發,1,25.0%,1.00,"1,100"
P0010,☆魔雀T塾生☆,シーズン,2026,セミファイナル,立直,3,75.0%,6.33,"11,200"
P0010,☆魔雀T塾生☆,シーズン,2026,セミファイナル,門前清摸和,3,75.0%,6.33,"11,200"
P0215,りゅー,シーズン,2026,セミファイナル,一気通貫,1,50.0%,2.00,"2,300"
P0215,りゅー,シーズン,2026,セミファイナル,立直,1,50.0%,1.00,"3,300"
P0298,中出雄介,シーズン,2026,セミファイナル,一盃口,1,50.0%,4.00,"8,000"
P0298,中出雄介,シーズン,2026,セミファイナル,白,1,50.0%,1.00,"3,200"
P0298,中出雄介,シーズン,2026,セミファイナル,門前清摸和,1,50.0%,4.00,"8,000"
