年度,リーグ,ステージ,順位,チーム,試合数,ポイント,着順分布,ポイント差
2026,Aリーグ,レギュラー,1,SILVER WOLVES,66,528.50,22-17-13-14,
2026,Aリーグ,レギュラー,2,電光石火,66,476.30,21-17-16-12,52.2
2026,Aリーグ,レギュラー,3,最強位ズ,66,423.00,17-20-21-8,53.3
2026,Aリーグ,レギュラー,4,MJ東京,66,248.60,17-18-17-14,174.4
2026,Aリーグ,レギュラー,5,武装,66,44.00,16-20-15-15,204.6
2026,Aリーグ,レギュラー,6,ＺＯＯ,66,-101.60,16-15-15-20,145.6
2026,Aリーグ,レギュラー,7,HIVE,66,-117.90,18-13-16-19,16.3
2026,Aリーグ,レギュラー,8,MJAC愛好会,66,-125.90,14-20-15-17,8.0
2026,Aリーグ,レギュラー,9,レッドリボン軍,66,-226.60,14-14-21-17,100.7
2026,Aリーグ,レギュラー,10,たちこまーず,66,-274.70,16-17-11-22,48.1
2026,Aリーグ,レギュラー,11,enjoyすればイイ雀！,66,-377.40,14-12-23-17,102.7
2026,Aリーグ,レギュラー,12,SSブルーバーズ,66,-496.30,14-14-15-23,118.9
2026,Bリーグ,レギュラー,1,さわやかMJ野郎の会,66,581.10,22-15-17-12,
2026,Bリーグ,レギュラー,2,教室生☆KSC,66,430.40,21-15-16-14,150.7
2026,Bリーグ,レギュラー,3,おたまーず,66,300.90,20-17-14-15,129.5
2026,Bリーグ,レギュラー,4,チートイズ,66,176.50,17-18-15-16,124.4
2026,Bリーグ,レギュラー,5,Brave Revengers,66,153.30,20-17-8-21,23.2
2026,Bリーグ,レギュラー,6,Team MJ lovers,66,90.30,16-14-27-9,63.0
2026,Bリーグ,レギュラー,7,Vertice,66,65.20,16-13-26-11,25.1
2026,Bリーグ,レギュラー,8,La vie en Rose,66,-76.30,15-19-17-15,141.5
2026,Bリーグ,レギュラー,9,IRU,66,-110.10,13-20-18-15,33.8
2026,Bリーグ,レギュラー,10,TEAM AJITO,66,-120.30,18-15-13-20,10.2
2026,Bリーグ,レギュラー,11,他力本願寺,66,-393.30,13-21-11-21,273.0
2026,Bリーグ,レギュラー,12,楽しめばイイ雀,66,"-1,147.70",7-14-17-28,754.4
2026,Aリーグ,セミファイナル,1,最強位ズ,8,348.50,4-1-0-3,
2026,Aリーグ,セミファイナル,2,SILVER WOLVES,8,305.20,2-2-3-1,43.3
2026,Aリーグ,セミファイナル,3,電光石火,8,205.70,2-1-3-2,99.5
2026,Aリーグ,セミファイナル,4,MJ東京,8,42.50,1-2-3-2,163.2
2026,Aリーグ,セミファイナル,5,ＺＯＯ,8,-31.60,2-3-1-2,74.1
2026,Aリーグ,セミファイナル,6,武装,8,-60.80,1-3-2-2,29.2
2026,Bリーグ,セミファイナル,1,さわやかMJ野郎の会,8,429.00,3-2-3-0,
2026,Bリーグ,セミファイナル,2,おたまーず,8,172.30,2-2-3-1,256.7
2026,Bリーグ,セミファイナル,3,教室生☆KSC,8,170.90,1-3-2-2,1.4
2026,Bリーグ,セミファイナル,4,Team MJ lovers,8,93.80,1-4-2-1,77.1
2026,Bリーグ,セミファイナル,5,Brave Revengers,8,25.20,3-0-0-5,68.6
2026,Bリーグ,セミファイナル,6,チートイズ,8,-24.70,2-1-2-3,49.9
