年度,リーグ,ステージ,順位,チーム,試合数,ポイント,着順分布,ポイント差
2021,単一リーグ,レギュラー1st,1,TEAM AJITO,36,402.80,8-18-6-4,
2021,単一リーグ,レギュラー1st,2,SILVER WOLVES,36,187.60,11-9-9-7,215.2
2021,単一リーグ,レギュラー1st,3,Nリーグ選抜,36,169.70,12-9-4-11,17.9
2021,単一リーグ,レギュラー1st,4,MJAC愛好会,36,62.60,9-11-6-10,107.1
2021,単一リーグ,レギュラー1st,5,SSブルーバーズ,36,-81.00,9-8-8-11,143.6
2021,単一リーグ,レギュラー1st,6,二代目チーム武装戦線,36,-85.90,8-8-12-8,4.9
2021,単一リーグ,レギュラー1st,7,Jimmy Thousand,36,-129.70,9-7-9-11,43.8
2021,単一リーグ,レギュラー1st,8,鷲巣一行,36,-133.40,11-4-9-12,3.7
2021,単一リーグ,レギュラー1st,9,アカデミア魂,36,-169.40,6-11-12-7,36
2021,単一リーグ,レギュラー1st,10,笑王と愉快な仲間たち,36,-223.30,7-6-15-8,53.9
2021,単一リーグ,レギュラー2nd,1,Nリーグ選抜,60,376.60,19-15-9-17,
2021,単一リーグ,レギュラー2nd,2,TEAM AJITO,60,369.10,13-26-12-9,7.5
2021,単一リーグ,レギュラー2nd,3,SSブルーバーズ,60,124.70,18-12-14-16,244.4
2021,単一リーグ,レギュラー2nd,4,二代目チーム武装戦線,60,77.00,15-14-19-12,47.7
2021,単一リーグ,レギュラー2nd,5,SILVER WOLVES,60,26.50,16-13-18-13,50.5
2021,単一リーグ,レギュラー2nd,6,鷲巣一行,60,-67.00,18-11-13-18,93.5
2021,単一リーグ,レギュラー2nd,7,MJAC愛好会,60,-164.50,12-20-10-18,97.5
2021,単一リーグ,レギュラー2nd,8,Jimmy Thousand,60,-349.70,14-11-16-19,185.2
2021,単一リーグ,Semi-Final 1st,1,Nリーグ選抜,20,513.80,8-6-2-4,
2021,単一リーグ,Semi-Final 1st,2,SILVER WOLVES,20,230.60,6-5-7-2,283.2
2021,単一リーグ,Semi-Final 1st,3,TEAM AJITO,20,201.10,6-2-7-5,29.5
2021,単一リーグ,Semi-Final 1st,4,SSブルーバーズ,20,114.90,4-9-2-5,86.2
2021,単一リーグ,Semi-Final 1st,5,二代目チーム武装戦線,20,-190.80,5-2-6-7,305.7
2021,単一リーグ,Semi-Final 1st,6,鷲巣一行,20,-416.00,1-6-6-7,225.2
2021,単一リーグ,Semi-Final 2nd,1,Nリーグ選抜,8,437.80,2-1-2-3,
2021,単一リーグ,Semi-Final 2nd,2,TEAM AJITO,8,327.00,2-4-2-0,110.8
2021,単一リーグ,Semi-Final 2nd,3,SILVER WOLVES,8,280.10,3-2-1-2,46.9
2021,単一リーグ,Semi-Final 2nd,4,SSブルーバーズ,8,21.90,1-2-2-3,258.2
2021,単一リーグ,Semi-Final 2nd,5,二代目チーム武装戦線,8,-197.20,2-1-3-2,219.1
2021,単一リーグ,Final,1,TEAM AJITO,12,370.30,4-3-4-1,
2021,単一リーグ,Final,2,Nリーグ選抜,12,201.10,3-4-0-5,169.2
2021,単一リーグ,Final,3,SILVER WOLVES,12,-12.40,1-3-7-1,213.5
2021,単一リーグ,Final,4,SSブルーバーズ,12,-25.50,4-2-1-5,13.1
2022,単一リーグ,レギュラー,1,SILVER WOLVES,72,1006.90,26-19-16-11,
2022,単一リーグ,レギュラー,2,関西麻雀保安協会,72,662.20,27-13-15-17,344.7
2022,単一リーグ,レギュラー,3,星の砂 Stardust Collectors,72,320.20,19-17-26-10,342.0
2022,単一リーグ,レギュラー,4,TEAM THE ChampLoo,72,236.40,17-24-15-16,83.8
2022,単一リーグ,レギュラー,5,SSブルーバーズ,72,15.90,19-20-9-24,220.5
2022,単一リーグ,レギュラー,6,TEAM AJITO,72,-96.00,18-19-16-19,111.9
2022,単一リーグ,レギュラー,7,TEAMS Rabbit_yohan,72,-128.90,19-12-22-19,32.9
2022,単一リーグ,レギュラー,8,チーム負けねぇぞ,72,-554.10,11-24-17-20,425.2
2022,単一リーグ,レギュラー,9,Dirty Deeds Done Dirt Cheap,72,-672.80,16-10-21-25,118.7
2022,単一リーグ,レギュラー,10,ヴァルハラ,72,-789.80,8-22-24-18,117.0
2022,単一リーグ,Semi-Final ,1,SILVER WOLVES,16,866.70,7-5-3-1,
2022,単一リーグ,Semi-Final ,2,SSブルーバーズ,16,269.60,7-2-5-2,597.1
2022,単一リーグ,Semi-Final ,3,関西麻雀保安協会,16,266.70,3-4-5-4,2.9
2022,単一リーグ,Semi-Final ,4,星の砂 Stardust Collectors,16,-116.90,2-4-3-7,383.6
2022,単一リーグ,Semi-Final ,5,TEAM THE ChampLoo,16,-165.20,1-5-4-6,48.3
2022,単一リーグ,Final,1,SILVER WOLVES,12,624.30,4-5-1-2,
2022,単一リーグ,Final,2,関西麻雀保安協会,12,149.50,3-3-4-2,474.8
2022,単一リーグ,Final,3,SSブルーバーズ,12,49.40,2-4-2-4,100.1
2022,単一リーグ,Final,4,星の砂 Stardust Collectors,12,-180.00,3-0-5-4,229.4
2024,単一リーグ,レギュラー,7,MJ東京,72,-288.60,15-17-23-17,222.7
2024,単一リーグ,レギュラー,8,Team MJ lovers,72,-358.30,17-19-14-22,69.7
2024,単一リーグ,レギュラー,9,教室生☆KSC,72,-468.10,16-15-19-22,109.8
2024,単一リーグ,レギュラー,10,武装,72,-741.00,13-12-22-25,272.9
2024,単一リーグ,Semi-Final ,1,星の砂 Stardust Collectors,16,426.20,6-3-6-1,
2024,単一リーグ,Semi-Final ,2,SSブルーバーズ,16,305.70,5-4-4-2,120.5
2024,単一リーグ,Semi-Final ,3,クレイジーダイヤモンド,16,174.90,3-4-2-7,130.8
2024,単一リーグ,Semi-Final ,4,うるてぃまうぇぽん,16,75.50,2-3-5-5,99.4
2024,単一リーグ,Semi-Final ,5,さわやかMJ野郎の会,16,-21.60,3-5-3-5,97.1
2024,単一リーグ,Final,1,星の砂 Stardust Collectors,12,222.90,4-2-2-4,
2024,単一リーグ,Final,2,クレイジーダイヤモンド,12,197.10,3-4-5-0,25.8
2024,単一リーグ,Final,3,SSブルーバーズ,12,185.00,3-3-4-2,12.1
2024,単一リーグ,Final,4,うるてぃまうぇぽん,12,-114.00,2-3-1-6,299
2023,単一リーグ,レギュラー,1,SSブルーバーズ,72,578.50,24-15-18-15,
2023,単一リーグ,レギュラー,2,星の砂 Stardust Collectors,72,488.50,24-16-16-16,140
2023,単一リーグ,レギュラー,3,クレイジーダイヤモンド,72,87.60,19-16-21-16,400.9
2023,単一リーグ,レギュラー,4,さわやかMJ野郎の会,72,77.60,14-27-19-12,10
2023,単一リーグ,レギュラー,5,関西麻雀保安協会,72,-16.30,19-16-18-19,43.9
2023,単一リーグ,レギュラー,6,SILVER WOLVES,72,-154.60,16-20-18-18,188.3
2023,単一リーグ,レギュラー,7,TEAMS Rabbit_Yohan,72,-165.70,20-14-14-24,11.1
2023,単一リーグ,レギュラー,8,レッドリボン軍,72,-270.10,15-21-15-21,104.4
2023,単一リーグ,レギュラー,9,たちこまーず,72,-309.20,14-21-17-20,39.1
2023,単一リーグ,レギュラー,10,最強位ズ,72,-416.30,15-15-24-18,107.1
2023,単一リーグ,Semi-Final ,1,星の砂 Stardust Collectors,16,474.30,6-6-1-3,
2023,単一リーグ,Semi-Final ,2,SSブルーバーズ,16,223.30,4-3-5-4,251
2023,単一リーグ,Semi-Final ,3,クレイジーダイヤモンド,16,46.40,3-4-7-2,176.9
2023,単一リーグ,Semi-Final ,4,さわやかMJ野郎の会,16,-56.70,4-4-2-6,103.1
2023,単一リーグ,Semi-Final ,5,関西麻雀保安協会,16,-79.20,3-3-5-5,22.5
2023,単一リーグ,Final,1,SSブルーバーズ,12,220.50,4-4-1-3,
2023,単一リーグ,Final,2,星の砂 Stardust Collectors,12,212.30,2-3-5-2,8.2
2023,単一リーグ,Final,3,クレイジーダイヤモンド,12,-27.50,4-1-3-4,239.8
2023,単一リーグ,Final,4,さわやかMJ野郎の会,12,-61.50,2-4-3-3,34
2026,Aリーグ,レギュラー,1,SILVER WOLVES,66,528.50,22-17-13-14,-
2026,Aリーグ,レギュラー,2,電光石火,66,476.30,21-17-16-12,+52.2
2026,Aリーグ,レギュラー,3,最強位ズ,66,423.00,17-20-21-8,+53.3
2026,Aリーグ,レギュラー,4,MJ東京,66,248.60,17-18-17-14,+174.4
2026,Aリーグ,レギュラー,5,武装,66,44.00,16-20-15-15,+204.6
2026,Aリーグ,レギュラー,6,ＺＯＯ,66,-101.60,16-15-15-20,+145.6
2026,Aリーグ,レギュラー,7,HIVE,66,-117.90,18-13-16-19,+16.3
2026,Aリーグ,レギュラー,8,MJAC愛好会,66,-125.90,14-20-15-17,+8.0
2026,Aリーグ,レギュラー,9,レッドリボン軍,66,-226.60,14-14-21-17,+100.7
2026,Aリーグ,レギュラー,10,たちこまーず,66,-274.70,16-17-11-22,+48.1
2026,Aリーグ,レギュラー,11,enjoyすればイイ雀！,66,-377.40,14-12-23-17,+102.7
2026,Aリーグ,レギュラー,12,SSブルーバーズ,66,-496.30,14-14-15-23,+118.9
2026,Bリーグ,レギュラー,1,さわやかMJ野郎の会,66,581.10,22-15-17-12,-
2026,Bリーグ,レギュラー,2,教室生☆KSC,66,430.40,21-15-16-14,+150.7
2026,Bリーグ,レギュラー,3,おたまーず,66,300.90,20-17-14-15,+129.5
2026,Bリーグ,レギュラー,4,チートイズ,66,176.50,17-18-15-16,+124.4
